CasoIndex,Etiqueta,Valor,Raw,Quality
1,Caso Noticia,999916099166202411569,999916099166202411569,OK
1,Ley de Aplicabilidad,Ley 906,Ley 906,OK
1,Procedimiento Abreviado?,SI,SI,OK
1,Priorizado,NO,NO,OK
1,Tipo Noticia,QUERELLA,QUERELLA,OK
1,Delito,ESTAFA. ART. 246 C.P. MENOR CUANTIA,ESTAFA. ART. 246 C.P. MENOR CUANTIA,OK
1,Grado Delito,NINGUNO,NINGUNO,OK
1,Caracterización,BIENES MUEBLES,BIENES MUEBLES,OK
1,Modalidad,COMPRA,COMPRA,OK
1,Modo,PERSONAL SUPLANTACIÓN,PERSONAL SUPLANTACIÓN,OK
1,Fecha de los Hechos,08/12/2027 05:23:00,08/12/2027 05:23:00,OK
1,Lugar de los hechos,05001 CALLE 5 No. 72-30 BOGOTÁ,05001 CALLE 5 No. 72-30 BOGOTÁ,OK
